id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
329,Harry,Wilson,Wilson,a,,,6.1,80,53.0,24.3,14,5.0,5.4,13.0,6.0,0,0,0.0,6,-6.0,12822,2787,0.9,18.7,5.4,5.4,5.2,12.0,6.0,100.0,100.0,37.0,10.0,35.0,33.0,27.0,14.0,20.0,16.0,3.0,3.0,3.0,,,,,0.21,0.15,0.36,1.24,0.0,0.32,1.13,1.08,6.18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17692,7447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
330,Sander,Berge,Berge,a,,,4.9,304,188.0,0.1,514,184.0,2.8,113.0,50.0,0,0,0.0,-1,1.0,17,17,0.6,11.6,2.8,2.8,2.5,259.0,112.0,,,120.0,42.0,92.0,69.0,299.0,156.0,149.0,82.0,,,,,,,,0.03,0.04,0.07,1.39,0.0,0.24,1.42,1.04,8.85,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
331,Tom,Cairney,Cairney,a,,,4.8,348,217.0,0.0,630,250.0,1.2,252.0,108.0,0,0,0.0,-2,2.0,3,5,0.3,4.8,1.2,1.2,1.5,396.0,176.0,100.0,100.0,349.0,155.0,253.0,152.0,295.0,153.0,339.0,163.0,,,,,,,,0.17,0.05,0.22,1.62,0.0,0.0,1.63,0.61,6.92,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
332,Saša,Lukić,Lukić,i,Hamstring injury - Expected back 22 Feb,,4.9,308,191.0,0.1,548,198.0,1.0,270.0,117.0,0,0,0.0,-1,1.0,0,23,0.2,10.2,0.0,0.0,2.6,243.0,105.0,0.0,0.0,191.0,81.0,48.0,41.0,188.0,107.0,118.0,65.0,1.0,,,,,,,0.13,0.1,0.23,1.37,0.0,0.3,1.27,1.12,9.46,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
333,Martial,Godo,Godo,u,has joined Strasbourg permanently.,,4.5,470,286.0,0.0,657,270.0,0.0,662.0,260.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,711.0,293.0,0.0,0.0,708.0,290.0,704.0,291.0,685.0,284.0,708.0,290.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
334,Luke,Harris,Harris,u,Has joined Oxford United on loan for the rest of the season.,,4.5,452,271.0,0.0,793,349.0,0.0,649.0,249.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,700.0,284.0,0.0,0.0,695.0,279.0,692.0,281.0,671.0,272.0,695.0,279.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
335,Josh,King,King,a,,,4.4,553,331.0,1.8,140,46.0,1.0,266.0,114.0,0,0,0.0,-1,1.0,338,352,0.2,8.2,1.0,1.0,1.8,348.0,155.0,100.0,100.0,317.0,140.0,213.0,135.0,120.0,70.0,261.0,127.0,,,,,,,,0.12,0.04,0.16,1.32,0.0,0.31,1.54,1.13,7.28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
336,Harrison,Reed,Reed,a,,,4.3,571,338.0,0.3,304,103.0,1.8,185.0,81.0,0,0,0.0,-2,2.0,389,97,0.4,2.6,1.8,1.8,2.8,211.0,92.0,,,405.0,179.0,416.0,202.0,399.0,195.0,426.0,192.0,,,,,,,,0.26,1.54,1.8,2.64,0.0,0.0,6.43,0.0,6.43,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
337,Raúl,Jiménez Rodríguez,Raúl,a,,,6.2,72,24.0,1.9,138,21.0,2.8,122.0,15.0,0,0,0.0,-3,3.0,558,1223,0.5,11.5,2.8,2.8,3.2,164.0,13.0,100.0,100.0,146.0,12.0,96.0,3.0,18.0,10.0,41.0,9.0,,1.0,1.0,,,,,0.38,0.04,0.42,1.36,0.0,0.3,1.09,1.09,5.21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,2681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
338,Rodrigo,Muniz Carvalho,Muniz,d,Hamstring injury - 50% chance of playing,,5.3,195,45.0,0.7,218,34.0,0.0,766.0,78.0,0,0,0.0,-2,2.0,6,48,0.0,3.2,0.0,0.0,2.4,272.0,28.0,50.0,25.0,370.0,38.0,331.0,39.0,184.0,39.0,333.0,39.0,,,,,,,,0.24,0.0,0.24,1.46,0.0,0.26,1.03,1.03,4.91,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
