id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,element_type,team
43,1,1,126,3,134.5,16,0,36.4,200.8,952,0,0,0,0,0,29.0,2,11,0.17,1.10,1.27,13.94,2025-07-20T23:14:20.961423Z,,,106468,556,0,0.5,,0,Álex,0.0,False,,,,,2.3,Moreno Lopera,,a,34,Alex Moreno,250,92,211,60,290,104,266,91,12.0,3.0,203.0,69.0,,,,,,,2,2
44,0,0,22,0,33.3,11,0,13.3,84.8,473,0,0,0,0,0,15.0,2,5,0.04,0.13,0.17,9.28,2025-07-20T23:14:20.964063Z,,,515597,621,0,0.5,,0,Lamare,0.0,False,,,,,0.8,Bogarde,,a,6,Bogarde,311,114,303,115,310,115,319,116,83.0,46.0,383.0,135.0,,,,,,,2,2
45,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.966638Z,,,514315,618,0,0.5,,0,Lino,0.0,False,,,,,0.0,da Cruz Sousa,,a,0,Sousa,458,176,448,174,421,169,458,176,81.0,44.0,459.0,176.0,,,,,,,2,2
46,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.969212Z,,,587178,615,0,0.5,,0,Yasin,0.0,False,,,,,0.0,Özcan,,a,0,Yasin,479,192,470,191,446,189,479,192,110.0,68.0,479.0,191.0,,,,,,,2,2
47,11,15,534,10,722.7,40,8,214.3,731.6,3115,0,0,0,0,0,689.0,10,37,6.49,5.24,11.73,43.70,2025-07-20T23:14:20.971829Z,75.0,,244850,30,0,1.8,,0,Morgan,0.0,False,Ankle injury - 75% chance of playing,2025-08-10T22:00:04.458365Z,,,4.4,Rogers,,d,161,Rogers,45,13,32,29,38,24,19,14,625.0,274.0,26.0,15.0,,,,,,,3,2
48,7,15,686,7,963.1,46,3,209.6,799.6,3025,0,1,0,0,0,333.0,4,35,3.31,5.83,9.14,43.87,2025-07-20T23:14:20.974390Z,,,166989,91,0,1.6,,0,Youri,0.0,False,,,,,3.4,Tielemans,,a,121,Tielemans,29,7,8,8,93,64,23,18,557.0,226.0,101.0,48.0,,,,,,,3,2
49,2,2,174,2,235.8,19,1,70.3,146.4,1132,0,0,0,0,0,325.0,3,14,1.73,2.92,4.65,13.91,2025-07-20T23:14:20.976991Z,,,215711,160,0,1.5,,0,Leon,0.0,False,,,,,2.0,Bailey,,a,47,Bailey,280,130,154,107,94,65,194,102,491.0,185.0,251.0,114.0,,,,,,,3,2
50,0,0,37,0,23.2,2,0,5.2,16.4,89,0,0,0,0,0,16.0,1,0,0.65,0.03,0.68,2.27,2025-07-20T23:14:20.979545Z,,,195546,203,0,1.5,,0,Emiliano,0.0,False,,,,,0.9,Buendía Stati,,a,11,Buendía,357,167,320,166,309,162,355,168,479.0,178.0,381.0,181.0,,,,,,,3,2
51,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.982177Z,,,469247,204,0,1.5,,0,Samuel,0.0,False,,,,,0.0,Iling-Junior,,a,0,Iling Jr,659,292,659,292,656,289,659,292,521.0,203.0,644.0,287.0,,,,,,,3,2
52,4,3,265,5,307.9,26,1,78.7,235.4,1616,0,0,0,1,0,245.0,2,19,1.59,2.18,3.77,23.99,2025-07-20T23:14:20.984840Z,,,232653,151,0,1.5,,0,Jacob,0.0,False,,,,,2.3,Ramsey,,a,66,J.Ramsey,228,109,120,86,120,81,172,94,498.0,190.0,211.0,93.0,,,,,,,3,2
53,0,3,112,0,42.7,6,3,38.5,138.2,296,0,0,0,0,0,208.0,0,2,2.15,0.15,2.30,4.77,2025-07-20T23:14:20.987436Z,,,204646,148,0,1.5,,0,Donyell,0.0,False,,,,,2.4,Malen,,a,34,Malen,284,134,288,155,143,95,262,133,484.0,182.0,196.0,84.0,,,,,,,3,2
54,4,1,360,8,500.6,34,1,103.7,277.2,2217,0,0,0,0,0,263.0,7,27,3.10,2.70,5.80,35.03,2025-07-20T23:14:20.994144Z,,,122806,154,0,1.5,,0,John,0.0,False,,,,,2.3,McGinn,,a,78,McGinn,210,101,70,56,114,78,127,77,465.0,168.0,209.0,92.0,,,,,,,3,2
55,1,5,166,1,128.1,10,3,54.8,215.4,567,0,0,0,0,0,206.0,3,3,1.79,0.43,2.22,6.32,2025-07-20T23:14:20.996859Z,75.0,,88894,267,0,1.0,,0,Ross,0.0,False,Knock - 75% chance of playing,2025-08-10T22:00:04.469618Z,,,2.2,Barkley,,d,44,Barkley,238,115,215,132,146,97,228,122,328.0,82.0,219.0,95.0,,,,,,,3,2
56,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.999615Z,0.0,,491287,346,0,0.0,,0,Enzo,0.0,False,Season-long loan to Benfica,2025-07-22T13:50:13.193555Z,,,0.0,Barrenechea,,u,0,Barrenechea,628,269,627,269,620,266,628,269,425.0,140.0,618.0,267.0,,,,,,,3,2
57,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:21.002243Z,,,461421,341,0,1.0,,0,Lewis,0.0,False,,,,,0.0,Dobbin,,a,0,Dobbin,621,262,619,261,612,258,621,262,409.0,129.0,612.0,261.0,,,,,,,3,2
58,0,3,296,6,191.0,22,1,60.2,326.6,1720,0,0,0,0,0,83.0,2,20,0.82,0.83,1.65,23.03,2025-07-20T23:14:21.005214Z,,,226944,281,0,1.0,,0,Boubacar,0.0,False,,,,,2.2,Kamara,,a,57,Kamara,194,90,180,122,237,132,220,117,381.0,113.0,222.0,97.0,,,,,,,3,2
59,0,5,324,6,194.8,23,3,77.0,358.0,1613,0,0,0,0,0,215.0,4,20,2.12,0.84,2.96,23.66,2025-07-20T23:14:21.008067Z,,,449871,230,0,1.0,,0,Amadou,0.0,False,,,,,2.5,Onana,,a,65,Onana,174,80,178,121,141,93,177,97,404.0,127.0,184.0,78.0,,,,,,,3,2
60,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:21.010840Z,,,577731,445,0,0.5,,0,Ben,0.0,False,,,,,0.0,Broggio,,a,0,Broggio,582,237,578,237,562,231,582,237,297.0,65.0,576.0,238.0,,,,,,,3,2
